MD,CALI,DEN_QI_EDIT,DT_QI_EDIT,GR,RT,IGR,VSH,porosity
7000,15.12443,2.153361,107.5,32.451,69.7043,0.075273581,0.017674304,0.325519883
7000.5,14.40805,2.144553,109.3002,33.10445,70.34516,0.078556207,0.018525435,0.33067076
7001,14.50578,2.135744,107.1485,31.4986,78.13281,0.070489171,0.016446546,0.335822222
7001.5,14.50594,2.126936,106.5979,29.19264,94.243,0.058905112,0.013535545,0.340973099
7002,15.25517,2.22869,104.0972,30.01922,110.6553,0.063057461,0.014569074,0.281467836
7002.5,15.61307,2.196778,100.8501,31.55288,116.7142,0.070761848,0.016516116,0.300129825
7003,15.05959,2.202518,101.8018,33.66617,117.6131,0.081378025,0.019262835,0.296773099
7003.5,15.32012,2.22563,102.7021,36.55753,116.7553,0.095902859,0.023144073,0.28325731
7004,15.41748,2.222773,104.4046,31.56438,118.3476,0.070819619,0.016530861,0.28492807
7004.5,15.35221,2.205146,108.5057,32.1525,119.522,0.073774058,0.017287879,0.295236257
7005,15.25442,2.261809,111.0038,33.15638,119.512,0.078817079,0.018593383,0.2621
7005.5,15.05912,2.315856,112.4023,31.56641,118.845,0.070829817,0.016533464,0.230493567
7006,15.71011,2.239427,112.2008,31.01685,117.6074,0.068069086,0.015831227,0.275188889
7006.5,15.25399,2.207211,112.849,30.0507,107.1901,0.063215602,0.014608654,0.294028655
7007,15.15737,2.188338,110.6475,29.13551,99.01548,0.058618117,0.013464517,0.305065497
7007.5,15.54953,2.265163,110.1996,28.12459,92.73647,0.05353973,0.012216285,0.260138596
7008,16.5575,2.258141,110.3501,30.78102,91.45966,0.066884386,0.015531401,0.264245029
7008.5,15.83954,2.190427,110.2994,30.29011,92.64883,0.064418285,0.014910188,0.30384386
7009,15.64486,2.165494,109.1992,30.91342,91.44123,0.067549502,0.015699617,0.318424561
7009.5,15.54759,2.052542,109.1988,29.84698,90.18633,0.062192208,0.014352802,0.384478363
7010,15.71127,2.103177,108.6502,24.87423,87.15085,0.037211448,0.008311318,0.354867251
7010.5,15.51596,2.10507,110.102,28.55733,83.10236,0.055713613,0.012748621,0.353760234
7011,15.67861,2.120014,110.1514,29.18153,81.86703,0.0588493,0.013521728,0.345021053
7011.5,15.77555,2.133756,110.6032,29.41794,77.51678,0.060036913,0.013816163,0.336984795
7012,15.4817,2.163317,112.4035,31.85734,75.94759,0.072291313,0.016907237,0.319697661
7012.5,15.35205,2.169003,113.0038,30.0264,77.38032,0.06309353,0.0145781,0.316372515
7013,15.38493,2.138073,113.7028,30.62875,78.54559,0.066119454,0.015338293,0.334460234
7013.5,15.35266,2.121064,113.0011,28.95666,82.7754,0.057719659,0.013242497,0.344407018
7014,15.45085,2.152319,113.3016,32.00909,87.20751,0.073053633,0.017102755,0.32612924
7014.5,15.61391,2.142068,113.551,32.46631,91.77886,0.075350492,0.017694163,0.332123977
7015,15.80839,2.180287,113.1003,31.44301,96.69821,0.070209913,0.016375349,0.309773684
7015.5,15.67699,2.074086,113.2518,31.03131,98.72269,0.068141726,0.015849641,0.371879532
7016,15.5143,2.082895,113.7007,29.82444,99.65261,0.062078978,0.014324536,0.36672807
7016.5,15.61219,2.082895,113.5967,30.64229,101.138,0.066187472,0.015355449,0.36672807
7017,15.41718,2.091703,113.0966,29.74582,100.4601,0.061684028,0.014226005,0.361577193
7017.5,15.774,2.091703,112.5962,29.90713,96.09798,0.062494374,0.014428275,0.361577193
7018,15.51327,2.091703,112.4969,32.89355,94.83656,0.077496745,0.01824995,0.361577193
7018.5,15.28659,2.091703,111.9002,39.80732,93.13,0.112228277,0.027682556,0.361577193
