Label,area_0,area_1,area_2,area_3,area_4
Parasitized,113,15160,0,0,0
Parasitized,163.5,18954,0,0,0
Parasitized,85,29.5,15201,0,0
Parasitized,46,196,13745,0,0
Parasitized,13593,0,0,0,0
Parasitized,43.5,106,16505,0,0
Parasitized,101.5,13635.5,0,0,0
Parasitized,118.5,13150.5,0,0,0
Parasitized,81.5,12485,0,0,0
Parasitized,135.5,12604,0,0,0
Parasitized,33.5,172.5,16174,0,0
Parasitized,164,13594.5,0,0,0
Parasitized,132.5,14083.5,0,0,0
Parasitized,133.5,13290.5,0,0,0
Parasitized,14826,0,0,0,0
Parasitized,29.5,158.5,11376.5,0,0
Parasitized,443,288,201.5,9096,0
Parasitized,156,13696.5,0,0,0
Parasitized,140,16382.5,0,0,0
Parasitized,73.5,15019.5,0,0,0
Parasitized,164,13617,0,0,0
Parasitized,0,0,105,10245,0
Parasitized,8259,0,0,0,0
Parasitized,100,13300,0,0,0
Parasitized,37.5,12891,0,0,0
Parasitized,104.5,11926.5,0,0,0
Parasitized,280.5,31,4670,0,0
Parasitized,141.5,13529.5,0,0,0
Parasitized,114,133.5,10801,0,0
Parasitized,2,139.5,9219.5,0,0
Parasitized,175.5,16026,0,0,0
Parasitized,125,10701,0,0,0
Parasitized,156,12308.5,0,0,0
Parasitized,135.5,11744,0,0,0
Parasitized,95.5,12745,0,0,0
Parasitized,134,14850.5,0,0,0
Parasitized,2,2,366.5,9118.5,0
Parasitized,188,8093,0,0,0
Parasitized,183.5,17721.5,0,0,0
Parasitized,129.5,16121,0,0,0
Parasitized,98,14886,0,0,0
Parasitized,93.5,15,11668.5,0,0
Parasitized,85.5,13915,0,0,0
Parasitized,175,9918,0,0,0
Parasitized,17.5,85.5,14132.5,0,0
Parasitized,116,12706.5,0,0,0
Parasitized,5.5,11543.5,0,0,0
Parasitized,108.5,13285.5,0,0,0
Parasitized,52.5,10661.5,0,0,0
Parasitized,355.5,9556,0,0,0
Parasitized,16520,0,0,0,0
Parasitized,26.5,13099,0,0,0
Parasitized,209,12235,0,0,0
Parasitized,26,127,13800,0,0
Parasitized,139.5,12496,0,0,0
Parasitized,92,60.5,14334,0,0
Parasitized,111,13951.5,0,0,0
Parasitized,90,259,45,47.5,13
Parasitized,245.5,102,11316,0,0
Parasitized,10016,0,0,0,0
Parasitized,305,7223,0,0,0
Parasitized,221.5,236.5,20,8934,0
Parasitized,31,280,16977.5,0,0
Parasitized,237.5,12639.5,0,0,0
Parasitized,11.5,178.5,23.5,15.5,22.5
Parasitized,0,134,909.5,7268,0
Parasitized,42,42.5,29.5,202.5,11741
Parasitized,314,13537.5,0,0,0
Parasitized,57,86.5,29.5,18602.5,0
Parasitized,233.5,11698,0,0,0
Parasitized,7,209.5,16.5,4,4
Parasitized,189,21.5,15186,0,0
Parasitized,11.5,144.5,17273.5,0,0
Parasitized,56.5,17684,0,0,0
Parasitized,22.5,10.5,37.5,20,39
Parasitized,105,246,38,159,16017.5
Parasitized,164.5,155,11795.5,0,0
Parasitized,10518,0,0,0,0
Parasitized,164.5,15077.5,0,0,0
Parasitized,31,106,12497.5,0,0
Parasitized,41,215.5,9570.5,0,0
Parasitized,27.5,44.5,228.5,13744,0
Parasitized,109,19,207,13810,0
Parasitized,123,11531.5,0,0,0
Parasitized,10,77,50,179.5,41.5
Parasitized,71.5,14059,0,0,0
Parasitized,17.5,0,7398,0,0
Parasitized,36,32,2,100.5,87
Parasitized,197,15973,0,0,0
Parasitized,186,13823.5,0,0,0
Parasitized,8764,0,0,0,0
Parasitized,218,7,17103,0,0
Parasitized,190,12883.5,0,0,0
Parasitized,365,16309,0,0,0
Parasitized,0,9065,0,0,0
Parasitized,45,440.5,14377.5,0,0
Parasitized,31,26,4,351,5.5
Parasitized,174,60.5,190.5,182.5,254
Parasitized,178,12636,0,0,0
Parasitized,21.5,191,15989,0,0
Parasitized,100,15308,0,0,0
Parasitized,13278,0,0,0,0
Parasitized,128.5,10646.5,0,0,0
Parasitized,219.5,12314.5,0,0,0
Parasitized,283,12470,0,0,0
Parasitized,254,167,12.5,11135.5,0
Parasitized,11584,0,0,0,0
Parasitized,173.5,8,13796,0,0
Parasitized,189,9448.5,0,0,0
Parasitized,176.5,5.5,250,10417.5,0
Parasitized,174.5,12039,0,0,0
Parasitized,155.5,173,14702.5,0,0
Parasitized,90.5,7641.5,0,0,0
Parasitized,7.5,38.5,508,15,60
Parasitized,220,15022.5,0,0,0
Parasitized,2221.5,158,0,1.5,3
Parasitized,153,13403.5,0,0,0
Parasitized,150.5,61.5,47,337,16023
Parasitized,173.5,12964.5,0,0,0
Parasitized,240,16038,0,0,0
Parasitized,180.5,15793,0,0,0
Parasitized,176,18187.5,0,0,0
Parasitized,4,189,11987.5,0,0
Parasitized,169,17,15720.5,0,0
Parasitized,181,12573,0,0,0
Parasitized,109,237,15347,0,0
Parasitized,255,60,179.5,50,7
Parasitized,250,16005.5,0,0,0
Parasitized,32,261.5,12464.5,0,0
Parasitized,109,134.5,12319.5,0,0
Parasitized,329,11877.5,0,0,0
Parasitized,15,215,16843,0,0
Parasitized,5.5,13372.5,0,0,0
Parasitized,11706.5,0,0,0,0
Parasitized,2,202,9843.5,0,0
Parasitized,83.5,134.5,2,19.5,191.5
Parasitized,212,40,15,11501,0
Parasitized,94.5,13620,0,0,0
Parasitized,32,169,15916,0,0
Parasitized,10,218,90.5,12478.5,0
Parasitized,51,78,106,13609,0
Parasitized,229.5,39.5,16.5,252,12173
Parasitized,190.5,166.5,37.5,2,29.5
Parasitized,5.5,152,15233,0,0
Parasitized,200,12006.5,0,0,0
Parasitized,7,11,217,18745.5,0
Parasitized,124.5,15473,0,0,0
Parasitized,144,10595.5,0,0,0
Parasitized,25,285,11554.5,0,0
Parasitized,192,15813,0,0,0
Parasitized,69,185,13550.5,0,0
Parasitized,188,18749,0,0,0
Parasitized,126.5,14740,0,0,0
Parasitized,31.5,141.5,14023,0,0
Parasitized,131,5,1,288,20262
Parasitized,226.5,7,2,401.5,25.5
Parasitized,345,7440,0,0,0
Parasitized,226.5,14924.5,0,0,0
Parasitized,33,154.5,508,12378,0
Parasitized,238.5,12020.5,0,0,0
Parasitized,168.5,214,47.5,14519.5,0
Parasitized,22,27.5,460,250.5,32.5
Parasitized,15,161.5,12751,0,0
Parasitized,157.5,10108,0,0,0
Parasitized,27.5,29,12227.5,0,0
Parasitized,5.5,176,13413,0,0
Parasitized,222.5,189,37,181,12940
Parasitized,24,21,151.5,123.5,12662.5
Parasitized,103.5,17,157.5,10,11776
Parasitized,11640.5,0,0,0,0
Parasitized,64.5,12.5,10289.5,0,0
Parasitized,222,14806.5,0,0,0
Parasitized,201.5,10678.5,0,0,0
Parasitized,171.5,12334.5,0,0,0
Parasitized,224,8894,0,0,0
Parasitized,7,183.5,14432.5,0,0
Parasitized,22,195,0,16218.5,0
Parasitized,2,270.5,15996.5,0,0
Parasitized,135,8996.5,0,0,0
Parasitized,178.5,17848.5,0,0,0
Parasitized,177.5,15833,0,0,0
Parasitized,309.5,39.5,10,12817.5,0
Parasitized,13938.5,0,0,0,0
Parasitized,152.5,141,140,15238.5,0
Parasitized,43.5,6922.5,0,0,0
Parasitized,10,132,12.5,259.5,12990.5
Parasitized,139,35.5,168,131,119
Parasitized,294.5,85.5,9.5,235.5,66
Parasitized,12.5,304,11843.5,0,0
Parasitized,187,321.5,14321.5,0,0
Parasitized,10613.5,0,0,0,0
Parasitized,270,171,9875,0,0
Parasitized,105,12279.5,0,0,0
Parasitized,18.5,164,12370,0,0
Parasitized,181.5,9955,248.5,0,0
Parasitized,15,148,10129.5,0,0
Parasitized,236.5,11012.5,0,0,0
Parasitized,836.5,36.5,2,40.5,13225.5
Parasitized,57.5,244,34,19,4
Parasitized,152.5,101,21,13976,0
Parasitized,151,142,15384.5,0,0
Parasitized,55,164,25,12465.5,0
Parasitized,166,17522.5,0,0,0
Parasitized,191,11967.5,0,0,0
Parasitized,148,14252.5,0,0,0
Parasitized,194,4,13895.5,0,0
Parasitized,157,14622,0,0,0
Parasitized,0.5,220,0,61,19477
Parasitized,138,13524.5,0,0,0
Parasitized,14,225,11,196.5,12280.5
Parasitized,17008,0,0,0,0
Parasitized,190,16704,0,0,0
Parasitized,12.5,57.5,17,2,195
Parasitized,125.5,12091.5,0,0,0
Parasitized,196,13628,0,0,0
Parasitized,148.5,53,14400.5,0,0
Parasitized,206.5,17856.5,0,0,0
Parasitized,256,25,2,17302.5,0
Parasitized,161.5,12812.5,0,0,0
Parasitized,91.5,193,15107,0,0
Parasitized,162,13666.5,0,0,0
Parasitized,221,12,2.5,10,61
Parasitized,163.5,7366.5,0,0,0
Parasitized,21.5,276,16721.5,0,0
Parasitized,240,207,16119,0,0
Parasitized,190,16148,0,0,0
Parasitized,170.5,14805.5,0,0,0
Parasitized,30.5,84.5,50.5,136,13094.5
Parasitized,101.5,152,16086.5,0,0
Parasitized,173,292,34,115.5,9.5
Parasitized,248.5,7,13445.5,0,0
Parasitized,196,14935,0,0,0
Parasitized,162,20.5,93.5,12581,0
Parasitized,211,17376,0,0,0
Parasitized,0,5463.5,0,0,0
Parasitized,53,363,12747.5,156,0
Parasitized,23.5,1.5,7654,0,0
Parasitized,212.5,10008.5,0,0,0
Parasitized,166,211,15478.5,0,0
Parasitized,166,14473,0,0,0
Parasitized,15,259,16259,0,0
Parasitized,221.5,17404.5,0,0,0
Parasitized,232.5,207,11,8.5,16.5
Parasitized,41.5,268,183,13047,0
Parasitized,18,235.5,8.5,238,12.5
Parasitized,201,13974.5,0,0,0
Parasitized,134,7440.5,0,0,0
Parasitized,0,6677,0,0,0
Parasitized,12.5,14,6655,0,0
Parasitized,169.5,15,11892.5,0,0
Parasitized,214,1,316,36.5,9848.5
Parasitized,261,5.5,2,7,15330
Parasitized,15290,0,0,0,0
Parasitized,9,2,232,25.5,9077.5
Parasitized,256,12588,0,0,0
Parasitized,251.5,9644.5,0,0,0
Parasitized,162.5,16257.5,0,0,0
Parasitized,231,14421.5,0,0,0
Parasitized,226.5,15001.5,0,0,0
Parasitized,16160.5,0,0,0,0
Parasitized,11,284,13225.5,0,0
Parasitized,11806.5,0,0,0,0
Parasitized,230.5,12241.5,0,0,0
Parasitized,505.5,6,14189,0,0
Parasitized,1455,10410,0,0,0
Parasitized,44.5,23.5,315,18353.5,0
Parasitized,160.5,13640.5,0,0,0
Parasitized,12431.5,0,0,0,0
Parasitized,157.5,123.5,16.5,67.5,20
Parasitized,343.5,163,15040.5,0,0
Parasitized,158.5,8.5,24,148,31.5
Parasitized,177.5,76.5,15784.5,0,0
Parasitized,42.5,348.5,14588.5,237,0
Parasitized,232,22426,0,0,0
Parasitized,64,146,16103.5,0,0
Parasitized,407.5,7.5,202.5,16824,0
Parasitized,185.5,11850,0,0,0
Parasitized,118,787,32.5,12309.5,0
Parasitized,8.5,9,554,10,15478
Parasitized,0,7,229,9400,0
Parasitized,12032.5,0,0,0,0
Parasitized,241.5,13563.5,0,0,0
Parasitized,100,75.5,10980,0,0
Parasitized,266.5,15667,1,0,0
Parasitized,216,12322,0,0,0
Parasitized,16543.5,0,0,0,0
Parasitized,10,360,483.5,14470.5,0
Parasitized,26.5,141.5,10.5,48.5,81
Parasitized,141,12416.5,0,0,0
Parasitized,120.5,12267.5,0,0,0
Parasitized,35.5,7,81,12333,0
Parasitized,285,13863,0,0,0
Parasitized,13489,0,0,0,0
Parasitized,14770,0,0,0,0
Parasitized,187,15513.5,0,0,0
Parasitized,113.5,148,62,10891,0
Parasitized,1.5,43.5,21925.5,0,0
Parasitized,124,13745,0,0,0
Parasitized,148,41,173.5,14384,0
Parasitized,129.5,94.5,47,42.5,152
Parasitized,135,15469.5,0,0,0
Parasitized,187.5,127,14447,0,0
Parasitized,47.5,36.5,11774.5,0,0
Parasitized,88.5,15513,0,0,0
Parasitized,48,150.5,146.5,64.5,13211
Parasitized,183,64.5,28.5,9612,0
Parasitized,238,10014,0,0,0
Parasitized,12.5,14777.5,0,0,0
Parasitized,176,13391.5,0,0,0
Parasitized,239,463.5,240,9865.5,0
Parasitized,266,18501.5,0,0,0
Parasitized,185.5,10075,0,0,0
Parasitized,135.5,192,14296,0,0
Parasitized,163,15459.5,0,0,0
Parasitized,133,8628.5,0,0,0
Parasitized,186,11977,0,0,0
Parasitized,191.5,233,20832,0,0
Parasitized,483,1679.5,14292.5,0,0
Parasitized,150,14641,0,0,0
Parasitized,197.5,15630.5,0,0,0
Parasitized,196.5,12.5,13257,0,0
Parasitized,17,259.5,6237,0,0
Parasitized,167.5,14879,0,0,0
Parasitized,19.5,24,206.5,85,15274
Parasitized,272,15338,0,0,0
Parasitized,7,812,91,22.5,17.5
Parasitized,108,300.5,14903,0,0
Parasitized,11366,0,0,0,0
Parasitized,8.5,179.5,12990,0,0
Parasitized,10,35,32,549,15065.5
Parasitized,11,28.5,277.5,15911,0
Parasitized,38,192,12192.5,0,0
Parasitized,173,48,27,18108.5,0
Parasitized,187.5,16638,0,0,0
Parasitized,57.5,248.5,127,118.5,17.5
Parasitized,157,18831,0,0,0
Parasitized,173.5,15780.5,0,0,0
Parasitized,17.5,142,9474.5,0,0
Parasitized,108,100,11434,0,0
Parasitized,222.5,11458.5,0,0,0
Parasitized,101,188,13416.5,0,0
Parasitized,10,97.5,12669,0,0
Parasitized,414.5,18836.5,0,0,0
Parasitized,228.5,22920,0,0,0
Parasitized,17,35.5,174,18286.5,0
Parasitized,157,12403,0,0,0
Parasitized,7,201,270.5,16423.5,0
Parasitized,111.5,38.5,11484.5,0,0
Parasitized,161,13513.5,0,0,0
Parasitized,115,13133,0,0,0
Parasitized,204,16744.5,0,0,0
Parasitized,14287.5,0,0,0,0
Parasitized,320,12075.5,0,0,0
Parasitized,29,5.5,28.5,14564,0
Parasitized,164.5,17797,0,0,0
Parasitized,122,13178.5,0,0,0
Parasitized,160.5,7.5,7,12702.5,0
Parasitized,199.5,8442.5,0,0,0
Parasitized,198,13498.5,0,0,0
Parasitized,274,14434,0,0,0
Parasitized,31,266,21,457,10
Parasitized,190,58.5,14510.5,0,0
Parasitized,188,16806.5,0,0,0
Parasitized,201.5,96.5,290.5,9909,0
Parasitized,192,4,16649.5,0,0
Parasitized,24,64,57.5,12.5,12.5
Parasitized,24.5,2,174,15966,0
Parasitized,244.5,66,10465,0,0
Parasitized,92,16579,0,0,0
Parasitized,13360,0,0,0,0
Parasitized,130.5,13754,0,0,0
Parasitized,427,510,2,720.5,104
Parasitized,62.5,2,534.5,237.5,278.5
Parasitized,3679,12023.5,15024,0,0
Parasitized,11,657,494.5,17461,0
Parasitized,50,5.5,62.5,5003.5,13211
Parasitized,1786.5,0,0,0,0
Parasitized,97.5,7,15,119,199.5
Parasitized,145.5,71.5,16,16.5,5.5
Parasitized,11637,13986.5,0,0,0
Parasitized,8.5,44,32,43,1884.5
Parasitized,2,24.5,8.5,40,236
Parasitized,63,146.5,16159,0,0
Parasitized,5.5,11,4,59.5,223
Parasitized,529,20,48.5,134.5,14526
Parasitized,70,6,17519,0,0
Parasitized,2,5.5,36,9,20
Parasitized,1591,2184,14469,0,0
Parasitized,109,1934.5,0,0,0
Parasitized,0,766,16980.5,0,0
Parasitized,2,30.5,58,3581.5,13070
Parasitized,23.5,80.5,2,5.5,178.5
Parasitized,7.5,0,0,0,1238
Parasitized,328.5,5741.5,11337.5,0,0
Parasitized,184,31.5,4304.5,9815,0
Parasitized,0,0,2,0,0
Parasitized,33,17.5,7460,14589,0
Parasitized,210,10352.5,0,0,0
Parasitized,321.5,16.5,18.5,311.5,14937.5
Parasitized,198.5,79,0,14267.5,0
Parasitized,4,11,13.5,13.5,2
Parasitized,142,17404,0,0,0
