"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-02-01 00:00","2019","02","01","00:00","-17.1","","-23.1","","60","","25","","12","","","","101.38","","","","-25","","NA"
"2019-02-01 01:00","2019","02","01","01:00","-17.6","","-22.1","","68","","25","","14","","","","101.39","","","","-26","","NA"
"2019-02-01 02:00","2019","02","01","02:00","-18.0","","-22.6","","67","","25","","14","","","","101.42","","","","-26","","NA"
"2019-02-01 03:00","2019","02","01","03:00","-17.8","","-22.7","","65","","25","","14","","","","101.46","","","","-26","","NA"
"2019-02-01 04:00","2019","02","01","04:00","-18.0","","-22.6","","67","","27","","11","","","","101.48","","","","-25","","NA"
"2019-02-01 05:00","2019","02","01","05:00","-18.5","","-22.6","","70","","25","","15","","","","101.52","","","","-27","","NA"
"2019-02-01 06:00","2019","02","01","06:00","-18.9","","-22.6","","72","","26","","11","","","","101.55","","","","-26","","NA"
"2019-02-01 07:00","2019","02","01","07:00","-19.7","","-23.1","","74","","29","","9","","","","101.61","","","","-26","","NA"
"2019-02-01 08:00","2019","02","01","08:00","-19.8","","-23.0","","75","","28","","9","","","","101.65","","","","-27","","NA"
"2019-02-01 09:00","2019","02","01","09:00","-17.4","","-21.9","","68","","28","","11","","","","101.71","","","","-25","","NA"
"2019-02-01 10:00","2019","02","01","10:00","-14.2","","-21.0","","56","","26","","7","","","","101.71","","","","-19","","NA"
"2019-02-01 11:00","2019","02","01","11:00","-13.0","","-19.7","","57","","22","","9","","","","101.74","","","","-18","","NA"
"2019-02-01 12:00","2019","02","01","12:00","-13.3","","-18.4","","66","","18","","13","","","","101.69","","","","-20","","NA"
"2019-02-01 13:00","2019","02","01","13:00","-12.2","","-17.6","","64","","18","","11","","","","101.63","","","","-18","","NA"
"2019-02-01 14:00","2019","02","01","14:00","-10.8","","-18.4","","53","","22","","14","","","","101.59","","","","-17","","NA"
"2019-02-01 15:00","2019","02","01","15:00","-10.6","","-14.9","","70","","17","","10","","","","101.55","","","","-16","","NA"
"2019-02-01 16:00","2019","02","01","16:00","-9.5","","-18.3","","49","","25","","13","","","","101.56","","","","-16","","NA"
"2019-02-01 17:00","2019","02","01","17:00","-10.4","","-18.0","","54","","24","","11","","","","101.57","","","","-16","","NA"
"2019-02-01 18:00","2019","02","01","18:00","-11.9","","-17.7","","62","","23","","10","","","","101.60","","","","-18","","NA"
"2019-02-01 19:00","2019","02","01","19:00","-12.8","","-18.5","","62","","24","","7","","","","101.62","","","","-17","","NA"
"2019-02-01 20:00","2019","02","01","20:00","-12.3","","-18.7","","59","","27","","10","","","","101.62","","","","-18","","NA"
"2019-02-01 21:00","2019","02","01","21:00","-12.1","","-17.8","","63","","24","","11","","","","101.62","","","","-18","","NA"
"2019-02-01 22:00","2019","02","01","22:00","-12.5","","-18.1","","63","","27","","5","","","","101.59","","","","-16","","NA"
"2019-02-01 23:00","2019","02","01","23:00","-13.8","","-19.2","","64","","27","","5","","","","101.57","","","","-17","","NA"
"2019-02-02 00:00","2019","02","02","00:00","-15.3","","-19.0","","73","","18","","2","","","","101.47","","","","-17","","NA"
"2019-02-02 01:00","2019","02","02","01:00","-15.0","","-17.8","","79","","16","","4","","","","101.36","","","","-18","","NA"
"2019-02-02 02:00","2019","02","02","02:00","-14.6","","-17.2","","81","","12","","4","","","","101.35","","","","-17","","NA"
"2019-02-02 03:00","2019","02","02","03:00","-12.7","","-15.4","","80","","0","","1","","","","101.32","","","","-13","","NA"
"2019-02-02 04:00","2019","02","02","04:00","-12.4","","-14.3","","86","","30","","6","","","","101.24","","","","-16","","NA"
"2019-02-02 05:00","2019","02","02","05:00","-10.3","","-12.7","","83","","24","","14","","","","101.17","","","","-17","","NA"
"2019-02-02 06:00","2019","02","02","06:00","-10.3","","-12.5","","84","","24","","14","","","","101.09","","","","-17","","NA"
"2019-02-02 07:00","2019","02","02","07:00","-10.4","","-13.2","","80","","25","","11","","","","101.06","","","","-16","","NA"
"2019-02-02 08:00","2019","02","02","08:00","-10.2","","-13.4","","77","","23","","10","","","","100.93","","","","-15","","NA"
"2019-02-02 09:00","2019","02","02","09:00","-8.2","","-10.5","","84","","22","","9","","","","100.85","","","","-13","","NA"
"2019-02-02 10:00","2019","02","02","10:00","-6.0","","-8.9","","80","","21","","26","","","","100.71","","","","-14","","NA"
"2019-02-02 11:00","2019","02","02","11:00","-5.4","","-8.5","","79","","21","","31","","","","100.57","","","","-14","","NA"
"2019-02-02 12:00","2019","02","02","12:00","-4.7","","-7.7","","79","","21","","29","","","","100.45","","","","-12","","NA"
"2019-02-02 13:00","2019","02","02","13:00","-3.8","","-5.8","","86","","22","","26","","","","100.30","","","","-11","","NA"
"2019-02-02 14:00","2019","02","02","14:00","-2.7","","-4.1","","90","","24","","25","","","","100.23","","","","-9","","NA"
"2019-02-02 15:00","2019","02","02","15:00","-2.1","","-4.7","","83","","27","","20","","","","100.24","","","","-8","","NA"
"2019-02-02 16:00","2019","02","02","16:00","-2.2","","-5.3","","79","","27","","12","","","","100.29","","","","-6","","NA"
"2019-02-02 17:00","2019","02","02","17:00","-2.3","","-5.3","","80","","27","","6","","","","100.33","","","","-5","","NA"
"2019-02-02 18:00","2019","02","02","18:00","-2.3","","-5.3","","80","","25","","5","","","","100.41","","","","-4","","NA"
"2019-02-02 19:00","2019","02","02","19:00","-2.2","","-5.4","","79","","25","","8","","","","100.48","","","","-5","","NA"
"2019-02-02 20:00","2019","02","02","20:00","-2.1","","-5.0","","80","","24","","10","","","","100.54","","","","-6","","NA"
"2019-02-02 21:00","2019","02","02","21:00","-1.9","","-4.6","","82","","25","","11","","","","100.56","","","","-6","","NA"
"2019-02-02 22:00","2019","02","02","22:00","-1.9","","-4.7","","82","","26","","7","","","","100.62","","","","-5","","NA"
"2019-02-02 23:00","2019","02","02","23:00","-2.1","","-4.7","","83","","29","","5","","","","100.64","","","","-4","","NA"
"2019-02-03 00:00","2019","02","03","00:00","-2.1","","-4.6","","83","","28","","3","","","","100.65","","","","-3","","NA"
"2019-02-03 01:00","2019","02","03","01:00","-2.8","","-5.0","","85","","0","","1","","","","100.64","","","","-3","","NA"
"2019-02-03 02:00","2019","02","03","02:00","-2.8","","-4.5","","88","","7","","2","","","","100.64","","","","-4","","NA"
"2019-02-03 03:00","2019","02","03","03:00","-3.0","","-4.6","","88","","9","","5","","","","100.64","","","","-5","","NA"
"2019-02-03 04:00","2019","02","03","04:00","-2.9","","-4.2","","91","","9","","9","","","","100.62","","","","-6","","NA"
"2019-02-03 05:00","2019","02","03","05:00","-3.2","","-4.0","","94","","10","","9","","","","100.64","","","","-7","","NA"
"2019-02-03 06:00","2019","02","03","06:00","-3.3","","-4.3","","93","","8","","13","","","","100.59","","","","-8","","NA"
"2019-02-03 07:00","2019","02","03","07:00","-3.2","","-4.0","","94","","8","","12","","","","100.60","","","","-8","","NA"
"2019-02-03 08:00","2019","02","03","08:00","-3.4","","-4.3","","94","","6","","12","","","","100.61","","","","-8","","NA"
"2019-02-03 09:00","2019","02","03","09:00","-3.4","","-4.3","","94","","7","","15","","","","100.56","","","","-9","","NA"
"2019-02-03 10:00","2019","02","03","10:00","-3.4","","-4.2","","94","","7","","13","","","","100.51","","","","-8","","NA"
"2019-02-03 11:00","2019","02","03","11:00","-3.9","","-4.8","","93","","5","","12","","","","100.46","","","","-9","","NA"
"2019-02-03 12:00","2019","02","03","12:00","-3.3","","-4.4","","92","","6","","10","","","","100.33","","","","-7","","NA"
"2019-02-03 13:00","2019","02","03","13:00","-2.8","","-4.1","","91","","5","","12","","","","100.22","","","","-7","","NA"
"2019-02-03 14:00","2019","02","03","14:00","-1.6","","-2.9","","91","","9","","5","","","","100.11","","","","-3","","NA"
"2019-02-03 15:00","2019","02","03","15:00","-0.4","","-1.7","","91","","11","","6","","","","100.05","","","","-2","","NA"
"2019-02-03 16:00","2019","02","03","16:00","0.6","","-0.8","","91","","3","","6","","","","100.10","","","","","","NA"
"2019-02-03 17:00","2019","02","03","17:00","-0.5","","-1.4","","94","","7","","7","","","","100.06","","","","-3","","NA"
"2019-02-03 18:00","2019","02","03","18:00","-0.6","","-1.5","","94","","4","","8","","","","100.08","","","","-3","","NA"
"2019-02-03 19:00","2019","02","03","19:00","-0.5","","-1.3","","95","","7","","10","","","","100.08","","","","-4","","NA"
"2019-02-03 20:00","2019","02","03","20:00","0.2","","-0.3","","96","","10","","7","","","","100.03","","","","","","NA"
"2019-02-03 21:00","2019","02","03","21:00","0.6","","0.0","","96","","7","","6","","","","100.06","","","","","","NA"
"2019-02-03 22:00","2019","02","03","22:00","1.6","","0.9","","95","","13","","8","","","","100.06","","","","","","NA"
"2019-02-03 23:00","2019","02","03","23:00","1.2","","0.4","","95","","12","","7","","","","100.10","","","","","","NA"
"2019-02-04 00:00","2019","02","04","00:00","2.0","","1.3","","95","","15","","7","","","","100.10","","","","","","NA"
"2019-02-04 01:00","2019","02","04","01:00","2.0","","1.5","","97","","15","","9","","","","100.11","","","","","","NA"
"2019-02-04 02:00","2019","02","04","02:00","1.7","","1.1","","96","","17","","9","","","","100.10","","","","","","NA"
"2019-02-04 03:00","2019","02","04","03:00","1.8","","0.9","","94","","19","","11","","","","100.14","","","","","","NA"
"2019-02-04 04:00","2019","02","04","04:00","1.9","","1.3","","96","","19","","12","","","","100.12","","","","","","NA"
"2019-02-04 05:00","2019","02","04","05:00","2.3","","1.7","","96","","20","","10","","","","100.19","","","","","","NA"
"2019-02-04 06:00","2019","02","04","06:00","3.6","","2.8","","95","","22","","12","","","","100.22","","","","","","NA"
"2019-02-04 07:00","2019","02","04","07:00","2.6","","2.0","","96","","22","","7","","","","100.27","","","","","","NA"
"2019-02-04 08:00","2019","02","04","08:00","1.8","","1.3","","96","","18","","13","","","","100.29","","","","","","NA"
"2019-02-04 09:00","2019","02","04","09:00","1.6","","1.0","","95","","19","","5","","","","100.33","","","","","","NA"
"2019-02-04 10:00","2019","02","04","10:00","1.8","","1.2","","96","","8","","4","","","","100.33","","","","","","NA"
"2019-02-04 11:00","2019","02","04","11:00","2.4","","1.8","","95","","15","","8","","","","100.30","","","","","","NA"
"2019-02-04 12:00","2019","02","04","12:00","2.9","","2.2","","95","","23","","7","","","","100.28","","","","","","NA"
"2019-02-04 13:00","2019","02","04","13:00","6.2","","3.5","","83","","15","","3","","","","100.15","","","","","","NA"
"2019-02-04 14:00","2019","02","04","14:00","4.8","","3.5","","91","","15","","3","","","","100.09","","","","","","NA"
"2019-02-04 15:00","2019","02","04","15:00","5.9","","3.1","","82","","5","","2","","","","100.02","","","","","","NA"
"2019-02-04 16:00","2019","02","04","16:00","6.0","","3.0","","81","","11","","7","","","","99.95","","","","","","NA"
"2019-02-04 17:00","2019","02","04","17:00","3.4","","1.1","","85","","5","","15","","","","99.89","","","","","","NA"
"2019-02-04 18:00","2019","02","04","18:00","2.0","","0.6","","90","","6","","12","","","","99.82","","","","","","NA"
"2019-02-04 19:00","2019","02","04","19:00","1.8","","0.3","","90","","4","","6","","","","99.75","","","","","","NA"
"2019-02-04 20:00","2019","02","04","20:00","6.2","","2.4","","77","","16","","15","","","","99.66","","","","","","NA"
"2019-02-04 21:00","2019","02","04","21:00","3.7","","1.3","","84","","18","","13","","","","99.59","","","","","","NA"
"2019-02-04 22:00","2019","02","04","22:00","3.7","","1.6","","86","","17","","19","","","","99.53","","","","","","NA"
"2019-02-04 23:00","2019","02","04","23:00","4.9","","2.2","","83","","18","","31","","","","99.43","","","","","","NA"
"2019-02-05 00:00","2019","02","05","00:00","4.3","","2.0","","85","","19","","27","","","","99.46","","","","","","NA"
"2019-02-05 01:00","2019","02","05","01:00","4.4","","2.6","","88","","20","","20","","","","99.52","","","","","","NA"
"2019-02-05 02:00","2019","02","05","02:00","3.6","","2.3","","92","","21","","12","","","","99.51","","","","","","NA"
"2019-02-05 03:00","2019","02","05","03:00","2.4","","1.3","","93","","19","","15","","","","99.51","","","","","","NA"
"2019-02-05 04:00","2019","02","05","04:00","4.3","","3.9","","98","","23","","13","","","","99.55","","","","","","NA"
"2019-02-05 05:00","2019","02","05","05:00","5.2","","5.0","","98","","24","","20","","","","99.61","","","","","","NA"
"2019-02-05 06:00","2019","02","05","06:00","4.4","","4.1","","98","","23","","21","","","","99.68","","","","","","NA"
"2019-02-05 07:00","2019","02","05","07:00","4.4","","4.2","","98","","23","","16","","","","99.81","","","","","","NA"
"2019-02-05 08:00","2019","02","05","08:00","4.2","","3.9","","98","","27","","19","","","","99.97","","","","","","NA"
"2019-02-05 09:00","2019","02","05","09:00","3.7","","1.2","","84","","27","","17","","","","100.15","","","","","","NA"
"2019-02-05 10:00","2019","02","05","10:00","3.3","","-0.9","","74","","28","","19","","","","100.26","","","","","","NA"
"2019-02-05 11:00","2019","02","05","11:00","3.1","","-1.6","","71","","28","","27","","","","100.37","","","","","","NA"
"2019-02-05 12:00","2019","02","05","12:00","2.9","","-3.2","","64","","26","","23","","","","100.42","","","","","","NA"
"2019-02-05 13:00","2019","02","05","13:00","2.7","","-4.3","","60","","27","","21","","","","100.50","","","","","","NA"
"2019-02-05 14:00","2019","02","05","14:00","2.8","","-4.4","","59","","25","","20","","","","100.58","","","","","","NA"
"2019-02-05 15:00","2019","02","05","15:00","2.4","","-4.6","","60","","25","","19","","","","100.68","","","","","","NA"
"2019-02-05 16:00","2019","02","05","16:00","1.5","","-4.7","","63","","24","","20","","","","100.81","","","","","","NA"
"2019-02-05 17:00","2019","02","05","17:00","0.8","","-4.1","","69","","5","","8","","","","100.94","","","","","","NA"
